scientificName,kingdom
Cladonia squamosa (Scop.) Hoffm. ,Fungi
Cladonia stellaris (Opiz) Brodo,Fungi
Cladonia strepsilis (Ach.) Vain.,Fungi
Cladonia stricta (Nyl.) Nyl.,Fungi
Cladonia stygia (Fr.) Ahti ,Fungi
Cladonia subcariosa Nyl. em. Vainio,Fungi
Cladonia subulata (L.) F. Weber ex F. H. Wigg.,Fungi
Cladonia sulphurina (Michx.) Fr.,Fungi
Cladonia turgida Ehrh. ex Hoffm.,Fungi
Cladonia uncialis (L.) F. Weber ex F. H. Wigg. ,Fungi
Cliostomum corrugatum (Ach.) Fr.,Fungi
Cliostomum griffithii (Sm.) Coppins,Fungi
Coelocaulon divergens (Ach.) R. Howe,Fungi
Cornicularia normoerica (Gunn.) Du Rietz,Fungi
Dolichousnea longissima (Ach.) Articus,Fungi
Evernia divaricata (L.) Ach.,Fungi
Evernia elenkiniana Zalbr.,Fungi
Evernia mesomorpha Nyl.,Fungi
Evernia prunastri (L.) Ach.,Fungi
Evernia terrestris (Tomin) Golubk.,Fungi
Fellhanera bouteillei (Desm.) Vězda,Fungi
"Fellhanera gyrophorica Sérus., Coppins, Diederich et Schneid.",Fungi
Fellhanera subtilis (Vězda) Diederich et Sérus.,Fungi
Flavocetraria cucullata (Bellardi) Kärnefelt et Thell,Fungi
Flavocetraria nivalis (L.) Ach.,Fungi
Flavoparmelia caperata (L.) Hale,Fungi
Flavopunctelia flaventior (Stirt.) Hale,Fungi
Frutidella caesioatra (Schaer.) Kalb.,Fungi
Frutidella furfuracea (Anzi) M. Westb. et M. Svenss.,Fungi
Frutidella pullata (Norman) Schmull ,Fungi
"Glaucomaria bicincta (Ramond) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Glaucomaria carpinea (L.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Glaucomaria leptyrodes (Nyl.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Glaucomaria subcarpinea (Szatala) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Glaucomaria sulphurea (Hoffm.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Glaucomaria swartzii subsp. swartzii (Ach.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Glaucomaria swartzii subsp. caulescens (J. Steiner) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Gowardiana nigricans (Ach.) Halonen, Myllys, Velmala et Hyvärinen",Fungi
Haematomma nemetzii J. Steiner,Fungi
