taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
agarics:ukraine:taxon:142	Chromosera cyanophylla	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Chromosera	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Chromosera	cyanophylla		species	(Fr.) Redhead, Ammirati & Norvell
agarics:ukraine:taxon:143	Chrysomphalina chrysophylla	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Chrysomphalina	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Chrysomphalina	chrysophylla		species	(Fr.) Clémençon
agarics:ukraine:taxon:144	Clitocella fallax	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitocella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitocella	fallax		species	(Quél.) Kluting, T.J.Baroni & Bergemann
agarics:ukraine:taxon:145	Clitocella mundula	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitocella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitocella	mundula		species	(Lasch) Kluting, T.J.Baroni & Bergemann
agarics:ukraine:taxon:146	Clitocella popinalis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Entolomataceae | Clitocella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitocella	popinalis		species	(Fr.) Kluting, T.J.Baroni & Bergemann
agarics:ukraine:taxon:147	Clitocybe amarescens	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	amarescens		species	Harmaja
agarics:ukraine:taxon:148	Clitocybe angustissima	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	angustissima		species	(Lasch) P.Kumm.
agarics:ukraine:taxon:149	Clitocybe brumalis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	brumalis		species	(Fr.) Quél.
agarics:ukraine:taxon:150	Clitocybe candida	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	candida		species	Bres.
agarics:ukraine:taxon:151	Clitocybe catinus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	catinus		species	(Fr.) Quél.
